"wallMessages","robotMessages","tick"
132785.0,94450.0,739.0
132820.0,94483.0,740.0
132841.0,94483.0,741.0
132878.0,94538.0,742.0
132907.0,94563.0,743.0
132928.0,94563.0,744.0
132949.0,94563.0,745.0
132995.0,94642.0,746.0
133014.0,94642.0,747.0
133037.0,94646.0,748.0
133065.0,94670.0,749.0
133099.0,94720.0,750.0
133117.0,94720.0,751.0
133147.0,94748.0,752.0
133165.0,94748.0,753.0
133196.0,94791.0,754.0
133223.0,94818.0,755.0
133242.0,94820.0,756.0
133259.0,94820.0,757.0
133297.0,94885.0,758.0
133313.0,94885.0,759.0
133331.0,94887.0,760.0
133355.0,94912.0,761.0
133381.0,94947.0,762.0
133396.0,94947.0,763.0
133421.0,94974.0,764.0
133435.0,94974.0,765.0
133459.0,95005.0,766.0
133481.0,95029.0,767.0
133496.0,95031.0,768.0
133509.0,95031.0,769.0
133531.0,95058.0,770.0
133544.0,95058.0,771.0
133559.0,95060.0,772.0
133572.0,95060.0,773.0
133595.0,95086.0,774.0
133608.0,95086.0,775.0
133621.0,95086.0,776.0
133642.0,95111.0,777.0
133654.0,95111.0,778.0
133673.0,95134.0,779.0
133691.0,95156.0,780.0
133701.0,95156.0,781.0
133711.0,95156.0,782.0
133732.0,95192.0,783.0
133741.0,95192.0,784.0
133750.0,95192.0,785.0
133767.0,95213.0,786.0
133778.0,95226.0,787.0
133787.0,95229.0,788.0
133798.0,95242.0,789.0
133805.0,95242.0,790.0
133816.0,95253.0,791.0
133825.0,95263.0,792.0
133835.0,95269.0,793.0
133841.0,95269.0,794.0
133857.0,95292.0,795.0
133861.0,95292.0,796.0
133869.0,95296.0,797.0
133878.0,95308.0,798.0
133886.0,95313.0,799.0
133890.0,95313.0,800.0
133902.0,95329.0,801.0
133906.0,95329.0,802.0
133911.0,95329.0,803.0
133916.0,95329.0,804.0
133921.0,95329.0,805.0
133926.0,95329.0,806.0
133931.0,95329.0,807.0
133936.0,95329.0,808.0
133946.0,95345.0,809.0
133950.0,95345.0,810.0
133954.0,95345.0,811.0
133962.0,95358.0,812.0
133965.0,95358.0,813.0
133968.0,95358.0,814.0
133974.0,95368.0,815.0
133976.0,95368.0,816.0
133978.0,95368.0,817.0
133982.0,95375.0,818.0
133983.0,95375.0,819.0
133984.0,95375.0,820.0
133986.0,95379.0,821.0
133986.0,95379.0,822.0
133986.0,95379.0,823.0
133986.0,95379.0,824.0
133986.0,95379.0,825.0
133986.0,95379.0,826.0
133986.0,95379.0,827.0
133986.0,95379.0,828.0
133986.0,95379.0,829.0
133986.0,95379.0,830.0
133986.0,95379.0,831.0
133986.0,95379.0,832.0
133986.0,95379.0,833.0
133986.0,95379.0,834.0
133986.0,95379.0,835.0
133986.0,95379.0,836.0
133986.0,95379.0,837.0
133986.0,95379.0,838.0
133986.0,95379.0,839.0
133986.0,95379.0,840.0
133986.0,95379.0,841.0
133986.0,95379.0,842.0
133986.0,95379.0,843.0
133986.0,95379.0,844.0
133986.0,95379.0,845.0
133986.0,95379.0,846.0
133986.0,95379.0,847.0
133986.0,95379.0,848.0
133986.0,95379.0,849.0
133986.0,95379.0,850.0
133986.0,95379.0,851.0
133986.0,95379.0,852.0
133986.0,95379.0,853.0
133986.0,95379.0,854.0
133986.0,95379.0,855.0
133986.0,95379.0,856.0
133986.0,95379.0,857.0
133986.0,95379.0,858.0
133986.0,95379.0,859.0
133986.0,95379.0,860.0
133986.0,95379.0,861.0
133986.0,95379.0,862.0
133986.0,95379.0,863.0
133986.0,95379.0,864.0
133986.0,95379.0,865.0
133986.0,95379.0,866.0
133986.0,95379.0,867.0
133986.0,95379.0,868.0
133986.0,95379.0,869.0
133986.0,95379.0,870.0
133986.0,95379.0,871.0
133986.0,95379.0,872.0
133986.0,95379.0,873.0
133986.0,95379.0,874.0
133986.0,95379.0,875.0
133986.0,95379.0,876.0
133986.0,95379.0,877.0
133986.0,95379.0,878.0
133986.0,95379.0,879.0
133986.0,95379.0,880.0
133986.0,95379.0,881.0
133986.0,95379.0,882.0
133986.0,95379.0,883.0
133986.0,95379.0,884.0
133986.0,95379.0,885.0
133986.0,95379.0,886.0
133986.0,95379.0,887.0
133986.0,95379.0,888.0
133986.0,95379.0,889.0
133986.0,95379.0,890.0
133986.0,95379.0,891.0
133986.0,95379.0,892.0
133986.0,95379.0,893.0
133986.0,95379.0,894.0
133986.0,95379.0,895.0
133986.0,95379.0,896.0
133986.0,95379.0,897.0
133986.0,95379.0,898.0
133986.0,95379.0,899.0
133986.0,95379.0,900.0
133986.0,95379.0,901.0
133986.0,95379.0,902.0
133986.0,95379.0,903.0
133986.0,95379.0,904.0
133986.0,95379.0,905.0
133986.0,95379.0,906.0
133986.0,95379.0,907.0
133986.0,95379.0,908.0
133986.0,95379.0,909.0
133986.0,95379.0,910.0
133986.0,95379.0,911.0
133986.0,95379.0,912.0
133986.0,95379.0,913.0
133986.0,95379.0,914.0
133986.0,95379.0,915.0
133986.0,95379.0,916.0
133986.0,95379.0,917.0
133986.0,95379.0,918.0
133986.0,95379.0,919.0
133986.0,95379.0,920.0
133986.0,95379.0,921.0
133986.0,95379.0,922.0
133986.0,95379.0,923.0
133986.0,95379.0,924.0
133986.0,95379.0,925.0
133986.0,95379.0,926.0
133986.0,95379.0,927.0
133986.0,95379.0,928.0
133986.0,95379.0,929.0
133986.0,95379.0,930.0
133986.0,95379.0,931.0
133986.0,95379.0,932.0
133986.0,95379.0,933.0
133986.0,95379.0,934.0
133986.0,95379.0,935.0
133986.0,95379.0,936.0
133986.0,95379.0,937.0
133986.0,95379.0,938.0
133986.0,95379.0,939.0
133986.0,95379.0,940.0
133986.0,95379.0,941.0
133986.0,95379.0,942.0
133986.0,95379.0,943.0
133986.0,95379.0,944.0
133986.0,95379.0,945.0
133986.0,95379.0,946.0
133986.0,95379.0,947.0
133986.0,95379.0,948.0
133986.0,95379.0,949.0
133986.0,95379.0,950.0
133986.0,95379.0,951.0
133986.0,95379.0,952.0
133986.0,95379.0,953.0
133986.0,95379.0,954.0
133986.0,95379.0,955.0
133986.0,95379.0,956.0
133986.0,95379.0,957.0
133986.0,95379.0,958.0
133986.0,95379.0,959.0
133986.0,95379.0,960.0
133986.0,95379.0,961.0
133986.0,95379.0,962.0
133986.0,95379.0,963.0
133986.0,95379.0,964.0
133986.0,95379.0,965.0
133986.0,95379.0,966.0
133986.0,95379.0,967.0
133986.0,95379.0,968.0
133986.0,95379.0,969.0
133986.0,95379.0,970.0
133986.0,95379.0,971.0
133986.0,95379.0,972.0
133986.0,95379.0,973.0
133986.0,95379.0,974.0
133986.0,95379.0,975.0
133986.0,95379.0,976.0
133986.0,95379.0,977.0
133986.0,95379.0,978.0
133986.0,95379.0,979.0
133986.0,95379.0,980.0
133986.0,95379.0,981.0
133986.0,95379.0,982.0
133986.0,95379.0,983.0
133986.0,95379.0,984.0
133986.0,95379.0,985.0
133986.0,95379.0,986.0
133986.0,95379.0,987.0
133986.0,95379.0,988.0
133986.0,95379.0,989.0
133986.0,95379.0,990.0
133986.0,95379.0,991.0
133986.0,95379.0,992.0
133986.0,95379.0,993.0
133986.0,95379.0,994.0
133986.0,95379.0,995.0
